

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- VIM STARTING ---
000.134  000.128: Allocated generic buffers
000.478  000.344: locale set
000.482  000.004: clipboard setup
000.491  000.009: window checked
000.977  000.486: inits 1
001.104  000.127: parsing arguments
001.109  000.005: expanding arguments
006.720  005.611: shell init
007.237  000.517: Termcap init
007.256  000.019: inits 2
007.396  000.140: init highlight
008.915  000.827  000.827: sourcing /usr/local/share/vim/vim80/syntax/syncolor.vim
009.095  001.103  000.276: sourcing /usr/local/share/vim/vim80/syntax/synload.vim
015.474  000.025  000.025: sourcing /usr/local/share/vim/vimfiles/ftdetect/augeas.vim
015.588  006.400  006.375: sourcing /usr/local/share/vim/vim80/filetype.vim
015.637  007.770  000.267: sourcing /usr/local/share/vim/vim80/syntax/syntax.vim
017.444  001.658  001.658: sourcing /Users/cicloid/.vim/autoload/plug.vim
018.787  001.096  001.096: sourcing /Users/cicloid/.vim/plugs/appearance.plugs
019.420  000.582  000.582: sourcing /Users/cicloid/.vim/plugs/git.plugs
020.044  000.571  000.571: sourcing /Users/cicloid/.vim/plugs/project.plugs
020.984  000.894  000.894: sourcing /Users/cicloid/.vim/plugs/ruby.plugs
021.827  000.795  000.795: sourcing /Users/cicloid/.vim/plugs/search.plugs
023.295  001.413  001.413: sourcing /Users/cicloid/.vim/plugs/textobjects.plugs
025.514  002.156  002.156: sourcing /Users/cicloid/.vim/plugs/vim-improvements.plugs
025.894  000.334  000.334: sourcing /Users/cicloid/.vim/plugs/languages.plugs
027.515  001.515  001.515: sourcing /usr/local/share/vim/vim80/ftoff.vim
037.590  000.033  000.033: sourcing /Users/cicloid/.vim/plugged/tmux.vim/ftdetect/tmux.vim
037.844  000.108  000.108: sourcing /Users/cicloid/.vim/plugged/vim-git/ftdetect/git.vim
038.138  000.034  000.034: sourcing /Users/cicloid/.vim/plugged/rspec.vim/ftdetect/rspec.vim
038.421  000.029  000.029: sourcing /Users/cicloid/.vim/plugged/vim-side-search/ftdetect/ag.vim
041.387  002.405  002.405: sourcing /Users/cicloid/.vim/plugged/vim-polyglot/ftdetect/polyglot.vim
041.525  000.020  000.020: sourcing /usr/local/share/vim/vimfiles/ftdetect/augeas.vim
041.732  000.033  000.033: sourcing /Users/cicloid/.vim/plugged/vim-polyglot/after/ftdetect/rspec.vim
041.798  010.070  007.408: sourcing /usr/local/share/vim/vim80/filetype.vim
042.519  000.045  000.045: sourcing /usr/local/share/vim/vim80/ftplugin.vim
043.485  000.056  000.056: sourcing /usr/local/share/vim/vim80/indent.vim
043.583  027.861  006.676: sourcing /Users/cicloid/.vim/plugs.vim
056.902  000.093  000.093: sourcing /usr/local/share/vim/vim80/filetype.vim
057.714  000.020  000.020: sourcing /usr/local/share/vim/vim80/ftplugin.vim
058.448  000.027  000.027: sourcing /usr/local/share/vim/vim80/filetype.vim
059.164  000.023  000.023: sourcing /usr/local/share/vim/vim80/indent.vim
061.932  000.195  000.195: sourcing /usr/local/share/vim/vim80/syntax/syncolor.vim
063.233  000.195  000.195: sourcing /usr/local/share/vim/vim80/syntax/syncolor.vim
064.274  000.183  000.183: sourcing /usr/local/share/vim/vim80/syntax/syncolor.vim
065.414  003.334  002.956: sourcing /Users/cicloid/dotfiles/vim/.vim/plugged/vim-solarized8/colors/solarized8_high.vim
065.425  004.544  001.015: sourcing /Users/cicloid/.vim/plugged/vim-solarized8/colors/solarized8_light_high.vim
065.435  004.982  000.438: sourcing /Users/cicloid/.vim/settings/cicloid-appearance.vim
065.515  000.026  000.026: sourcing /Users/cicloid/.vim/settings/cicloid-guioptions.vim
066.154  000.585  000.585: sourcing /Users/cicloid/.vim/settings/cicloid-keymap.vim
066.233  000.028  000.028: sourcing /Users/cicloid/.vim/settings/cicloid-search.vim
066.343  000.064  000.064: sourcing /Users/cicloid/.vim/settings/cicloid-soft-wrapping-text.vim
066.414  000.025  000.025: sourcing /Users/cicloid/.vim/settings/cicloid-stop-visual-paste-insanity.vim
066.513  000.056  000.056: sourcing /Users/cicloid/.vim/settings/cicloid-strip-trailing-whitespace.vim
066.583  000.026  000.026: sourcing /Users/cicloid/.vim/settings/cicloid-sudo-write.vim
066.664  000.039  000.039: sourcing /Users/cicloid/.vim/settings/cicloid-window-killer.vim
067.204  000.497  000.497: sourcing /Users/cicloid/.vim/settings/vinegar.vim
